key,service,layer_id,layer_name,kind,overlay_group,rule,notes
sso-admin.application_session_configuration,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.customer_managed_policy_references_in_permission_set,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.instance,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.instance_access_control_attribute_configuration,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.managed_policies_in_permission_set,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.permission_set_provisioning_status,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.permission_sets_provisioned_to_account,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.permissions_boundary_for_permission_set,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.tags_for_resource,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.trusted_token_issuer,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso.application,sso,G0,global,spatial,identity,global-service,sso has no region
sso.application_assignment,sso,G0,global,spatial,identity,global-service,sso has no region
sso.assignment,sso,G0,global,spatial,identity,global-service,sso has no region
sso.inline_policy_for_permission_set,sso,G0,global,spatial,identity,global-service,sso has no region
sso.instance,sso,G0,global,spatial,identity,global-service,sso has no region
sso.instance_access_control_attribute_configuration,sso,G0,global,spatial,identity,global-service,sso has no region
sso.permission_set,sso,G0,global,spatial,identity,global-service,sso has no region
sts.access_key_info,sts,G0,global,spatial,identity,global-service,sts has no region
sts.caller_identity,sts,G0,global,spatial,identity,global-service,sts has no region
sts.delegated_access_token,sts,G0,global,spatial,identity,global-service,sts has no region
sts.federation_token,sts,G0,global,spatial,identity,global-service,sts has no region
sts.session_token,sts,G0,global,spatial,identity,global-service,sts has no region
sts.web_identity_token,sts,G0,global,spatial,identity,global-service,sts has no region
waf.activated_rules_in_rule_group,waf,G0,global,spatial,identity,global-service,waf has no region
waf.byte_match_set,waf,G0,global,spatial,identity,global-service,waf has no region
waf.ip_set,waf,G0,global,spatial,identity,global-service,waf has no region
waf.logging_configuration,waf,G0,global,spatial,identity,global-service,waf has no region
waf.regex_pattern_set,waf,G0,global,spatial,identity,global-service,waf has no region
waf.rule,waf,G0,global,spatial,identity,global-service,waf has no region
waf.rule_group,waf,G0,global,spatial,identity,global-service,waf has no region
waf.size_constraint_set,waf,G0,global,spatial,identity,global-service,waf has no region
waf.sql_injection_match_set,waf,G0,global,spatial,identity,global-service,waf has no region
waf.web_acl,waf,G0,global,spatial,identity,global-service,waf has no region
waf.xss_match_set,waf,G0,global,spatial,identity,global-service,waf has no region
wafv2.available_managed_rule_group,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
wafv2.ip_set,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
wafv2.logging_configuration,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
wafv2.regex_pattern_set,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
wafv2.rule_group,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
wafv2.web_acl,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
wafv2.web_acl_association,wafv2,G0,global,spatial,identity,global-service,wafv2 has no region
ec2.vpc,ec2,L2,vpc,spatial,,structural,defines the layer
ec2.subnet,ec2,L4,subnet,spatial,,structural,defines the layer
apigateway.resource,apigateway,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
apigateway.stage,apigateway,L6,attached,spatial,dns,outbound-edge,contained in a vpc or subnet
apigatewayv2.integration,apigatewayv2,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
apigatewayv2.stage,apigatewayv2,L6,attached,spatial,dns,outbound-edge,contained in a vpc or subnet
apigatewayv2.vpc_link,apigatewayv2,L5,workload,spatial,dns,outbound-edge,contained in a vpc or subnet
appmesh.virtual_gateway,appmesh,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
apprunner.custom_domain,apprunner,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
apprunner.vpc_ingress_connection,apprunner,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
autoscaling.auto_scaling_group,autoscaling,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
batch.compute_environment,batch,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
cloudhsmv2.cloudhsm_cluster,cloudhsmv2,L5,workload,spatial,encryption,outbound-edge,contained in a vpc or subnet
codebuild.project,codebuild,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
codedeploy.deployment_group,codedeploy,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
codestar-connections.host,codestar-connections,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
datasync.agent,datasync,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
dax.cluster,dax,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
dax.subnet_group,dax,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
devicefarm.devicefarm_project,devicefarm,L5,workload,spatial,,outbound-edge,contained in a vpc or subnet
