key,service,icon_name,icon_class,icon_category,icon_file,match_level
s3tables.table_policy,s3tables,s3tables,,,,none
s3vectors.index,s3vectors,s3vectors,,,,none
s3vectors.vector_bucket,s3vectors,s3vectors,,,,none
s3vectors.vector_bucket_policy,s3vectors,s3vectors,,,,none
scheduler.schedule,scheduler,scheduler,,,,none
scheduler.schedule_group,scheduler,scheduler,,,,none
schemas.code_binding,schemas,schemas,,,,none
schemas.code_binding_source,schemas,schemas,,,,none
schemas.discovered_schema,schemas,schemas,,,,none
schemas.discoverer,schemas,schemas,,,,none
schemas.registry,schemas,schemas,,,,none
schemas.resource_policy,schemas,schemas,,,,none
schemas.schema,schemas,schemas,,,,none
schemas.schema_version,schemas,schemas,,,,none
sdb.domain,sdb,sdb,,,,none
sdb.domain,sdb,sdb,,,,none
security-ir.case,security-ir,security-ir,,,,none
security-ir.comment,security-ir,security-ir,,,,none
security-ir.investigation,security-ir,security-ir,,,,none
security-ir.membership,security-ir,security-ir,,,,none
serverlessrepo.application,serverlessrepo,serverlessrepo,,,,none
serverlessrepo.application_dependency,serverlessrepo,serverlessrepo,,,,none
serverlessrepo.application_policy,serverlessrepo,serverlessrepo,,,,none
serverlessrepo.application_version,serverlessrepo,serverlessrepo,,,,none
serverlessrepo.serverless_app,serverlessrepo,serverlessrepo,,,,none
service-quotas.association_for_service_quota_template,service-quotas,service-quotas,,,,none
service-quotas.requested_service_quota_change,service-quotas,service-quotas,,,,none
service-quotas.service_quota_increase_request_from_template,service-quotas,service-quotas,,,,none
service-quotas.service_quota_request,service-quotas,service-quotas,,,,none
servicecatalog-appregistry.application,servicecatalog-appregistry,servicecatalog-appregistry,,,,none
servicecatalog-appregistry.associated_attribute_group,servicecatalog-appregistry,servicecatalog-appregistry,,,,none
servicecatalog-appregistry.associated_resource,servicecatalog-appregistry,servicecatalog-appregistry,,,,none
servicecatalog-appregistry.attribute_group,servicecatalog-appregistry,servicecatalog-appregistry,,,,none
servicecatalog-appregistry.attribute_groups_for_application,servicecatalog-appregistry,servicecatalog-appregistry,,,,none
servicecatalog-appregistry.configuration,servicecatalog-appregistry,servicecatalog-appregistry,,,,none
servicediscovery.instance,servicediscovery,servicediscovery,,,,none
servicediscovery.instances_health_status,servicediscovery,servicediscovery,,,,none
servicediscovery.namespace,servicediscovery,servicediscovery,,,,none
servicediscovery.operation,servicediscovery,servicediscovery,,,,none
servicediscovery.service,servicediscovery,servicediscovery,,,,none
sesv2.account,sesv2,sesv2,,,,none
sesv2.configuration_set,sesv2,sesv2,,,,none
sesv2.configuration_set_event_destination,sesv2,sesv2,,,,none
sesv2.contact,sesv2,sesv2,,,,none
sesv2.contact_list,sesv2,sesv2,,,,none
sesv2.custom_verification_email_template,sesv2,sesv2,,,,none
sesv2.dedicated_ip,sesv2,sesv2,,,,none
sesv2.dedicated_ip_pool,sesv2,sesv2,,,,none
sesv2.domain_deliverability_campaign,sesv2,sesv2,,,,none
sesv2.email_identity,sesv2,sesv2,,,,none
sesv2.email_identity_policy,sesv2,sesv2,,,,none
sesv2.email_template,sesv2,sesv2,,,,none
sesv2.export_job,sesv2,sesv2,,,,none
sesv2.import_job,sesv2,sesv2,,,,none
sesv2.suppressed_destination,sesv2,sesv2,,,,none
sesv2.tenant,sesv2,sesv2,,,,none
signer.revocation_status,signer,signer,,,,none
signer.signing_job,signer,signer,,,,none
signer.signing_platform,signer,signer,,,,none
signer.signing_profile,signer,signer,,,,none
simspaceweaver.app,simspaceweaver,simspaceweaver,,,,none
simspaceweaver.simulation,simspaceweaver,simspaceweaver,,,,none
sms-voice.configuration_set_event_destination,sms-voice,sms-voice,,,,none
snow-device-management.device,snow-device-management,snow-device-management,,,,none
snow-device-management.device_ec2_instance,snow-device-management,snow-device-management,,,,none
snow-device-management.device_resource,snow-device-management,snow-device-management,,,,none
snow-device-management.execution,snow-device-management,snow-device-management,,,,none
snow-device-management.task,snow-device-management,snow-device-management,,,,none
socialmessaging.linked_whats_app_business_account,socialmessaging,socialmessaging,,,,none
socialmessaging.linked_whats_app_business_account_phone_number,socialmessaging,socialmessaging,,,,none
ssm-contacts.contact,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.contact_channel,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.contact_policy,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.page,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.page_receipt,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.page_resolution,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.pages_by_contact,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.pages_by_engagement,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.preview_rotation_shift,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.rotation,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.rotation_override,ssm-contacts,ssm-contacts,,,,none
ssm-contacts.rotation_shift,ssm-contacts,ssm-contacts,,,,none
ssm-incidents.incident_finding,ssm-incidents,ssm-incidents,,,,none
ssm-incidents.incident_record,ssm-incidents,ssm-incidents,,,,none
ssm-incidents.related_item,ssm-incidents,ssm-incidents,,,,none
ssm-incidents.replication_set,ssm-incidents,ssm-incidents,,,,none
ssm-incidents.resource_policy,ssm-incidents,ssm-incidents,,,,none
ssm-incidents.response_plan,ssm-incidents,ssm-incidents,,,,none
ssm-incidents.timeline_event,ssm-incidents,ssm-incidents,,,,none
ssm-quicksetup.configuration,ssm-quicksetup,ssm-quicksetup,,,,none
ssm-quicksetup.configuration_manager,ssm-quicksetup,ssm-quicksetup,,,,none
ssm-sap.application,ssm-sap,ssm-sap,,,,none
ssm-sap.component,ssm-sap,ssm-sap,,,,none
ssm-sap.configuration_check_definition,ssm-sap,ssm-sap,,,,none
ssm-sap.configuration_check_operation,ssm-sap,ssm-sap,,,,none
ssm-sap.databas,ssm-sap,ssm-sap,,,,none
ssm-sap.operation,ssm-sap,ssm-sap,,,,none
sso-admin.account_assignment,sso-admin,sso-admin,,,,none
sso-admin.account_assignment_creation_status,sso-admin,sso-admin,,,,none
sso-admin.account_assignment_deletion_status,sso-admin,sso-admin,,,,none
