source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
inspector2-finding,resources[].details.awsEc2Instance.vpcId,list_dict,vpc,contained-in,doc,medium,inspector2.ListFindings: 'Amazon EC2 instance',true,
inspector2-finding,resources[].details.awsLambdaFunction.vpcConfig.vpcId,list_dict,vpc,contained-in,doc,medium,inspector2.ListFindings: 'VPC',true,
internet-gateway,Attachments[].VpcId,list_dict,vpc,attached-to,hand,high,hand-authored from API response shape,true,doc
kafka,Provisioned.EncryptionInfo.EncryptionAtRest.DataVolumeKMSKeyId,dotted,kms-key,encrypted-by,c7n,high,aws.kafka.filters.kms-key,false,
kafka,BrokerNodeGroupInfo.SecurityGroups[],list_scalar,security-group,protected-by,c7n,high,aws.kafka.filters.security-group,false,
kafka,compound,scalar,subnet,contained-in,c7n,high,aws.kafka.filters.subnet,false,
kinesis,KeyId,scalar,kms-key,encrypted-by,c7n,high,aws.kinesis.filters.kms-key,false,
kinesis,definitions.StreamEncryptionKeyId.anyOf[0],dotted,kms-key,encrypted-by,cfn,high,AWS::Kinesis::Stream/definitions/StreamEncryption/properties/KeyId/anyOf[0],true,
kinesis,definitions.StreamEncryptionKeyId.anyOf[1],dotted,kms-key,encrypted-by,cfn,high,AWS::Kinesis::Stream/definitions/StreamEncryption/properties/KeyId/anyOf[1],true,
kinesis-analyticsv2,ApplicationConfigurationDescription.VpcConfigurationDescriptions[].SubnetIds[],list_nested,subnet,contained-in,c7n,high,aws.kinesis-analyticsv2.filters.subnet,false,
kinesis-video,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.kinesis-video.filters.kms-key,false,doc
kms,TargetKeyId,scalar,kms-key,encrypted-by,doc,medium,kms.ListAliases: 'KMS key associated with the alias',true,
lambda,Role,scalar,iam-role,assumes,hand,high,hand-authored from API response shape,true,
lambda,KMSKeyArn,scalar,kms-key,encrypted-by,c7n,high,aws.lambda.filters.kms-key,false,
lambda,VpcConfig.SecurityGroupIds[],list_scalar,security-group,protected-by,c7n,high,aws.lambda.filters.security-group,false,
